=== 运动项目 ===
id,name,unit
1,跑步,minutes
2,靠墙蹲,minutes
3,扶墙平板支撑,minutes
6,跳绳,count
7,坐屁股深蹲,count
8,单杠悬吊,minutes
9,迎体向上,count
10,曲膝提踵,count
11,站桩（各类）,minutes
12,壶铃,count
13,单脚站桩（左右脚）,minutes
14,坐桩,minutes
15,金刚颤,minutes
16,平板支撑,minutes

=== 打卡记录 ===
id,projectId,value,date
5,2,3,2026-06-12
6,7,10,2026-06-12
7,7,30,2026-06-11
8,3,1,2026-06-11
9,3,1,2026-06-12
10,7,10,2026-06-12
11,7,10,2026-06-12
12,7,10,2026-06-12
13,2,5,2026-06-12
14,7,10,2026-06-12
15,8,2,2026-06-12
16,9,10,2026-06-12
17,9,13,2026-06-12
18,9,10,2026-06-12
19,3,1,2026-06-12
20,6,1200,2026-06-12
21,7,20,2026-06-12
22,2,3,2026-06-13
23,7,10,2026-06-13
24,6,1000,2026-06-13
25,2,2,2026-06-13
26,3,1,2026-06-13
27,2,3,2026-06-14
28,10,50,2026-06-14
29,2,3,2026-06-14
30,7,10,2026-06-14
31,10,50,2026-06-14
32,6,500,2026-06-14
33,10,30,2026-06-14
34,7,10,2026-06-15
35,6,1200,2026-06-15
36,8,2,2026-06-15
37,9,25,2026-06-15
38,7,10,2026-06-15
39,10,30,2026-06-15
40,2,2,2026-06-16
41,2,1,2026-06-16
42,10,30,2026-06-16
43,6,1100,2026-06-16
44,2,3,2026-06-17
45,7,10,2026-06-17
46,10,30,2026-06-17
47,6,1400,2026-06-17
48,7,10,2026-06-17
49,6,1500,2026-06-18
50,8,2,2026-06-18
51,2,2,2026-06-21
52,7,10,2026-06-21
53,8,1,2026-06-21
54,7,10,2026-06-21
55,12,50,2026-06-21
56,12,50,2026-06-21
57,2,2,2026-06-21
58,10,30,2026-06-21
59,13,1,2026-06-21
60,13,1,2026-06-21
61,13,1,2026-06-22
62,6,1100,2026-06-22
63,7,10,2026-06-22
64,2,2,2026-06-22
65,12,100,2026-06-22
66,13,1,2026-06-22
67,8,2,2026-06-23
68,7,10,2026-06-23
69,6,1000,2026-06-23
70,2,2,2026-06-23
71,8,2,2026-06-24
72,8,2,2026-06-25
73,9,22,2026-06-25
74,7,10,2026-06-25
75,10,30,2026-06-25
76,7,10,2026-06-25
77,10,30,2026-06-25
78,11,5,2026-06-26
79,14,5,2026-06-26
80,12,50,2026-06-27
81,12,50,2026-06-27
82,9,15,2026-06-27
83,9,15,2026-06-27
84,8,2,2026-06-27
85,2,3,2026-06-28
86,2,3,2026-06-28
87,7,10,2026-06-28
88,3,2,2026-06-28
89,2,3,2026-06-29
90,7,10,2026-07-02
91,10,30,2026-07-03
92,12,50,2026-07-03
93,2,3,2026-07-03
94,2,3,2026-07-05
95,7,10,2026-07-05
96,13,1,2026-07-06
97,8,3,2026-07-08
98,2,3,2026-07-11
99,7,10,2026-07-11
100,7,10,2026-07-12
101,2,3,2026-07-12
102,2,3,2026-07-12
103,10,30,2026-07-12
104,15,1,2026-07-12
105,7,10,2026-07-12
106,8,2,2026-07-12
107,11,5,2026-07-12
108,7,10,2026-07-13
109,8,2,2026-07-13
110,12,50,2026-07-13
111,7,10,2026-07-13
112,16,1,2026-07-13
113,16,1,2026-07-13
114,7,10,2026-07-15
115,7,10,2026-07-15
116,8,3,2026-07-15
117,7,10,2026-07-16
118,8,2,2026-07-16
119,9,10,2026-07-16
120,9,10,2026-07-16
121,12,50,2026-07-16
122,12,50,2026-07-16
123,16,1,2026-07-17
124,16,1,2026-07-17
125,12,50,2026-07-17
126,7,10,2026-07-18
127,7,10,2026-07-18
128,8,2,2026-07-18
129,2,1,2026-07-19
130,2,4,2026-07-19
131,2,2,2026-07-19
132,2,2,2026-07-19
133,11,4,2026-07-19
134,2,2,2026-07-23
135,2,2,2026-07-23
136,9,15,2026-07-25
137,9,15,2026-07-25
138,8,3,2026-07-25
139,2,2,2026-07-26
140,2,2,2026-07-26
141,9,20,2026-07-26
142,8,2,2026-07-26
143,12,50,2026-07-26
144,6,600,2026-07-25
