=== 运动项目 ===
id,name,unit
1,跑步,minutes
2,靠墙蹲,minutes
3,扶墙平板支撑,minutes
6,跳绳,count
7,坐屁股深蹲,count
8,单杠悬吊,minutes
9,迎体向上,count
10,曲膝提踵,count
11,站桩（各类）,minutes
12,壶铃,count

=== 打卡记录 ===
id,projectId,value,date
5,2,3,2026-06-12
6,7,10,2026-06-12
7,7,30,2026-06-11
8,3,1,2026-06-11
9,3,1,2026-06-12
10,7,10,2026-06-12
11,7,10,2026-06-12
12,7,10,2026-06-12
13,2,5,2026-06-12
14,7,10,2026-06-12
15,8,2,2026-06-12
16,9,10,2026-06-12
17,9,13,2026-06-12
18,9,10,2026-06-12
19,3,1,2026-06-12
20,6,1200,2026-06-12
21,7,20,2026-06-12
22,2,3,2026-06-13
23,7,10,2026-06-13
24,6,1000,2026-06-13
25,2,2,2026-06-13
26,3,1,2026-06-13
27,2,3,2026-06-14
28,10,50,2026-06-14
29,2,3,2026-06-14
30,7,10,2026-06-14
31,10,50,2026-06-14
